,Base64,Leetspeak
Unlearning,2.26 (0.00%) (100.00%),2.80 (0.00%) (100.00%)
SafeDecoding,2.04 (0.00%) (100.00%),3.20 (0.00%) (98.00%)
Self-Exam,2.00 (0.00%) (96.00%),2.10 (0.00%) (86.00%)
LayerBugFixer,2.20 (0.00%) (100.00%),2.92 (0.00%) (100.00%)
PPL,2.02 (0.00%) (100.00%),2.62 (0.00%) (100.00%)
nodefense,2.00 (0.00%) (100.00%),2.82 (0.00%) (100.00%)
Paraphrase,1.88 (0.00%) (96.00%),2.28 (0.00%) (96.00%)
